,Year,Genre,summed
159,2006.0,Action,35.23000000000003
160,2006.0,Adventure,12.899999999999999
161,2006.0,Fighting,13.100000000000001
162,2006.0,Misc,39.129999999999995
163,2006.0,Party,0.33
164,2006.0,Platform,49.470000000000006
165,2006.0,Puzzle,6.470000000000001
166,2006.0,Racing,18.160000000000004
167,2006.0,Role-Playing,34.519999999999996
168,2006.0,Shooter,37.190000000000005
169,2006.0,Simulation,15.19
170,2006.0,Sports,125.88999999999999
171,2006.0,Strategy,2.6499999999999995
172,2007.0,Action,51.91
173,2007.0,Adventure,9.379999999999999
174,2007.0,Fighting,8.68
175,2007.0,MMO,3.5
176,2007.0,Misc,103.86000000000001
177,2007.0,Platform,38.949999999999996
178,2007.0,Puzzle,8.609999999999998
179,2007.0,Racing,22.34
180,2007.0,Role-Playing,42.710000000000015
181,2007.0,Shooter,75.89
182,2007.0,Simulation,21.14
183,2007.0,Sports,21.81
184,2007.0,Strategy,3.929999999999999
185,2008.0,Action,59.93000000000003
186,2008.0,Action-Adventure,0.28
187,2008.0,Adventure,42.050000000000004
188,2008.0,Fighting,27.31
189,2008.0,MMO,4.0
190,2008.0,Misc,32.15
191,2008.0,Music,2.86
192,2008.0,Platform,26.830000000000005
193,2008.0,Puzzle,1.7700000000000002
194,2008.0,Racing,66.1
195,2008.0,Role-Playing,44.40000000000001
196,2008.0,Shooter,75.53000000000003
197,2008.0,Simulation,8.71
198,2008.0,Sports,76.44999999999999
199,2008.0,Strategy,7.55
200,2009.0,Action,80.25000000000006
201,2009.0,Adventure,22.939999999999994
202,2009.0,Fighting,29.840000000000003
203,2009.0,Misc,35.39
204,2009.0,Music,3.04
205,2009.0,Party,0.0
206,2009.0,Platform,42.9
207,2009.0,Puzzle,6.159999999999999
208,2009.0,Racing,26.71999999999999
209,2009.0,Role-Playing,46.07
210,2009.0,Shooter,66.7
211,2009.0,Simulation,14.769999999999996
212,2009.0,Sports,113.64999999999999
213,2009.0,Strategy,8.299999999999997
214,2010.0,Action,73.68000000000002
215,2010.0,Action-Adventure,0.0
216,2010.0,Adventure,22.270000000000003
217,2010.0,Fighting,12.680000000000001
218,2010.0,MMO,6.28
219,2010.0,Misc,63.040000000000006
220,2010.0,Music,2.5
221,2010.0,Party,24.0
222,2010.0,Platform,31.050000000000004
